Seg	Seq#	Len
OBX	8	5
OM3	5	250
OM2	8	250
ABS	7	26
ABS	8	250
EDU	2	10
EDU	5	8
EDU	3	52
EDU	4	52
MSH	15	2
IPC	1	80
SAC	2	80
ACC	11	250
ACC	2	250
ACC	1	26
ACC	6	12
ACC	8	25
ACC	5	1
ACC	3	25
PV2	2	250
LCC	3	250
BLG	3	100
PV1	41	2
MSA	1	2
ORC	19	250
PRB	1	2
GOL	1	2
ROL	2	2
PTH	1	2
RXA	21	2
PRB	2	26
GOL	2	26
IAM	8	60
PCR	21	2
CER	25	26
LDP	7	26
STF	7	1
PRC	16	1
LDP	6	1
CDM	8	1
TXA	4	26
RXD	4	20
RXD	5	250
RXD	6	250
RXD	28	5
RXD	29	250
PV2	11	3
PRB	9	26
RXD	16	20
RXD	17	250
ADD	1	65536
STF	21	1
SAC	27	250
OM4	7	250
NK1	4	250
OM1	28	250
RXA	6	20
RXA	25	60
RXA	5	250
RXA	8	250
RXA	23	5
RXA	24	250
RXA	12	20
RXA	13	20
RXA	14	250
RXA	7	250
RXA	11	200
RXA	10	250
RXR	3	250
RXR	4	250
RXG	9	250
RXA	9	250
RXR	2	250
RXR	6	250
RXA	2	4
STF	5	1
NK1	15	1
PID	8	1
PV2	40	250
PV1	4	2
PV1	44	26
PV2	3	250
PV1	14	6
PV1	17	250
PD1	15	250
PV2	45	250
FT1	27	250
ORC	20	250
ORC	26	60
IAM	16	250
EQU	5	250
QRI	3	250
AL1	3	250
IAM	3	250
IAM	10	250
IAM	2	250
AL1	2	250
IAM	6	250
IAM	17	250
AL1	5	15
IAM	5	15
AL1	4	250
IAM	4	250
IAM	7	427
AIS	9	10
AIL	11	10
AIP	11	10
AIG	13	10
RXO	9	1
MSH	20	20
CSR	5	30
PID	4	20
CM0	3	60
CSR	2	60
PV1	50	250
GP2	7	250
IN2	32	2
NK1	18	2
GT1	34	2
PV1	15	2
TCD	8	250
PR1	9	2
PR1	10	4
PR1	8	250
RQ1	1	10
PRB	8	26
IN3	17	250
SID	1	250
MSH	16	2
NSC	1	4
NST	15	10
ERR	5	705
ERR	6	80
ARQ	9	20
SCH	9	20
ARQ	10	250
SCH	10	250
SCH	7	250
ARQ	7	250
SCH	11	200
SCH	8	250
ARQ	8	250
SAC	42	250
TXA	10	250
FT1	16	80
PV1	3	80
IN1	20	2
OBR	33	200
PR1	15	250
PV1	7	250
DG1	19	26
ABS	5	250
TXA	22	250
CER	16	250
AUT	4	26
AUT	5	26
AUT	6	30
IN1	14	239
AUT	9	2
AUT	2	250
AUT	3	45
AUT	1	250
ACC	4	250
STF	24	8
TCD	2	20
TCC	4	20
TCC	11	1
TCD	6	1
TCC	10	1
TCC	9	1
PDA	6	1
PDA	8	250
PDA	7	53
INV	9	20
SAC	22	20
IN2	19	1
PV2	37	1
STF	14	250
PV1	31	10
PV1	33	12
PV1	32	12
SAC	18	20
CER	17	250
BHS	10	80
BTS	2	80
BHS	11	20
BHS	7	26
BHS	2	3
BHS	1	1
BTS	1	10
BHS	9	20
BHS	5	227
BHS	6	227
BHS	8	40
BHS	3	227
BHS	4	227
BTS	3	100
BTX	4	250
BPX	6	250
BTX	3	250
BTX	2	22
BPX	5	22
BPX	7	250
BPX	12	250
NPU	1	80
PV1	40	1
NPU	2	1
PRC	14	250
PV2	32	1
IN1	32	2
PID	25	2
PID	23	250
BLC	2	267
IN2	21	1
UB1	2	1
UB1	3	2
UB1	5	2
BLC	1	250
UB1	4	2
ORG	11	1
SAC	19	20
BPO	3	250
BPX	19	250
BPX	18	80
BTX	14	250
BTX	18	250
BPO	5	5
BPX	15	5
BTX	9	5
BPX	11	250
BTX	13	26
BPX	4	26
BPX	2	250
BPX	20	250
BPX	21	250
BPX	13	26
BPO	13	250
BPO	14	1
BPO	9	250
BPO	8	80
BPO	7	26
BTX	12	1
BPX	14	5
BTX	8	5
BPO	4	5
BPO	10	26
BPO	12	250
BPO	11	80
BPX	3	1
BTX	17	26
BTX	19	250
BTX	16	26
BTX	11	250
BPX	17	22
BPO	6	250
BTX	10	250
BPX	16	250
BPO	2	250
BTX	15	250
PDC	3	60
PID	36	250
ACC	9	80
NK1	6	250
OVR	2	705
OVR	1	705
ABS	10	1
ORC	14	250
QRI	1	10
SAC	26	250
SAC	10	80
SAC	9	250
ABS	9	250
IN3	21	48
PDC	7	60
OM7	4	200
OM7	3	250
OM7	5	200
PEO	18	250
PRB	19	250
CER	11	250
CER	31	250
CER	10	250
IN3	18	250
IN3	19	250
IN3	9	8
IN3	15	48
IN3	16	250
IN3	6	26
IN3	10	8
IN3	7	26
IN3	2	250
IN3	4	1
IN3	3	250
CM0	5	250
OM1	44	200
PTH	6	26
MSH	18	16
GP2	3	12
LCC	4	250
CDM	2	250
CDM	4	250
CDM	3	20
PRC	18	1
PV1	21	2
OBR	23	40
BLG	2	50
BLG	4	60
PRC	15	1
NST	10	10
STF	30	250
NK1	19	250
PID	26	250
GT1	35	250
IN2	33	250
PV2	23	250
IN2	72	250
OM1	14	250
UB1	6	2
UB2	2	3
OBR	9	20
OBR	10	250
OBR	39	250
RDF	2	40
RDT	1	99999
IN2	20	1
ECR	1	250
ECR	3	65536
NTE	3	65536
NTE	4	250
IN1	35	8
RXA	20	2
RXC	3	20
RXC	2	250
RXC	8	5
RXC	9	250
RXC	5	20
RXC	6	250
RXC	4	250
UB2	3	2
UB1	7	14
TQ1	10	250
DG1	18	1
DRG	10	1
ORC	28	250
OM1	30	250
PEO	23	1
TQ1	12	10
NST	13	10
CON	7	65536
CON	20	250
PR1	13	250
CON	13	26
CON	21	1
CON	12	26
CON	14	26
OM7	14	26
OM7	13	26
CON	15	26
CON	3	40
CON	4	180
OM7	12	250
OM7	11	1
OM7	15	5
OM7	16	250
CON	10	2
CON	22	250
CON	11	2
CON	5	65536
CON	2	250
OM7	17	5
OM7	18	250
CON	24	250
CON	9	65536
PV1	9	250
INV	10	20
CTD	3	250
FAC	7	250
CTD	5	250
CM0	9	250
CTD	7	100
CTD	4	60
CTD	2	250
FAC	5	250
NK1	37	16
NK1	32	250
NK1	30	250
GT1	45	250
GT1	46	250
NK1	31	250
LDP	11	250
GT1	47	250
NK1	29	250
GT1	48	3
CTD	1	250
NK1	7	250
FAC	8	250
FAC	6	60
CM0	11	250
CM0	10	250
INV	5	250
SPM	28	250
OM4	3	60
SAC	17	20
SAC	16	20
SAC	20	250
SAC	3	80
SAC	8	250
SPM	27	250
OM4	5	250
SAC	21	20
OM4	4	20
MSH	14	180
DSC	1	180
DSC	2	1
PV1	26	12
PV1	24	2
PV1	25	8
CDM	11	250
CDM	12	250
PV1	27	3
OM1	33	250
RXE	35	60
IN1	22	2
IN1	21	2
GP2	13	12
IN2	67	1
STF	23	1
PDA	9	1
OM2	4	250
PRC	17	12
STF	36	250
PDC	2	250
MSH	17	3
PID	12	4
PV1	22	2
IN1	47	3
UB1	8	3
UB2	4	3
BPX	8	250
BTX	5	250
BTX	7	22
BPX	10	22
BPX	9	250
BTX	6	250
PV1	23	2
OM2	7	205
OM3	6	250
CER	18	250
NSC	4	30
NSC	2	30
NSC	5	30
NSC	3	30
GOL	12	26
GOL	11	250
PV1	46	12
INV	8	20
TQ2	7	1
TQ2	9	10
RXE	18	26
IN2	30	25
OBR	12	250
DSP	3	300
PRA	8	8
PDC	14	26
STF	25	8
PDC	15	26
PRA	10	8
RQD	10	8
STF	26	8
PCR	18	26
ECR	2	26
RXD	3	26
RXA	4	26
CSR	15	26
RMI	2	26
ABS	4	26
PID	7	26
STF	6	26
NK1	16	26
MSH	7	26
CSR	6	26
OBX	19	26
OBX	14	26
ORC	9	26
CSR	9	26
EVN	3	26
QRF	8	12
OM1	21	26
RXA	3	26
CSP	2	26
CSP	3	26
IN3	11	6
PDA	1	250
PDA	4	26
PDA	5	250
PDA	3	1
STF	31	8
STF	32	1
PDA	2	80
QRD	6	26
QRD	5	1
IN1	34	4
MSA	5	0
PV1	35	8
PV1	34	1
RQD	9	250
RXE	43	250
RXE	8	200
RXO	8	200
RXE	42	80
OM2	9	250
GP2	5	1
PRC	3	250
STF	8	250
FT1	13	250
IN2	11	250
RQD	7	30
OM6	2	10240
OM4	2	1
CM1	3	300
OM1	41	65536
CM2	3	300
CDM	5	1
PDC	4	60
PCR	19	1
DG1	16	250
DG1	21	1
DG1	17	3
DG1	3	250
FT1	19	250
DG1	2	2
DG1	5	26
DG1	4	40
DG1	20	427
DG1	15	2
DG1	6	2
ERR	7	2048
DRG	1	250
DG1	8	250
OBR	24	10
PV1	38	250
ODS	3	250
SAC	29	20
DB1	6	8
DB1	7	8
DB1	5	8
DB1	8	8
DB1	4	1
DB1	2	2
DB1	3	250
ABS	1	250
PV1	45	26
PV1	36	3
PV1	37	47
RXE	10	20
RXD	9	200
RXE	30	2
RXD	24	2
RXE	28	20
RXD	22	20
RXE	29	250
RXD	23	250
RXD	1	4
RXG	2	4
RXD	30	180
RXD	31	106
RXD	33	250
RXE	11	250
RXD	2	250
RXG	11	200
RXD	13	200
RXO	28	20
RXE	40	250
RXE	41	250
RXD	10	200
DSP	2	4
TXA	23	250
TXA	19	2
TXA	21	30
TXA	17	2
TXA	18	2
TXA	3	2
UB2	12	23
TXA	20	2
TXA	2	30
VAR	2	26
DG1	9	1
DRG	3	1
DRG	2	26
DRG	4	2
DG1	10	2
DRG	8	1
DRG	11	21
STF	22	25
PID	20	25
SAC	41	250
PD1	10	250
AIS	7	20
AIP	9	20
AIL	9	20
AIG	11	20
AIS	8	250
AIL	10	250
AIP	10	250
AIG	12	250
TXA	8	26
RF1	7	26
OBX	12	26
ORG	9	52
MFE	3	26
MFI	5	26
OM1	22	26
OM7	19	26
PRC	12	26
PRD	9	26
PRC	11	26
PRD	8	26
OM7	7	26
OM7	6	26
IN2	27	1
STF	15	40
IN2	49	250
IN2	50	250
IN2	51	2
IN2	4	1
PV2	15	1
ORG	10	250
STF	20	250
IN2	45	8
GT1	32	8
MSH	2	4
NK1	9	8
TQ1	8	26
EQP	4	26
CNS	6	250
CNS	4	26
CNS	2	20
TCC	7	20
TCD	5	20
OM7	20	250
ACC	7	250
ORC	10	250
FT1	24	250
SCH	22	80
ARQ	21	80
ARQ	19	250
SCH	20	250
SCH	21	250
ARQ	20	250
MFI	4	26
ORC	30	250
ORC	13	80
ORC	18	250
ORC	17	250
PRB	5	60
GOL	5	60
EQL	3	250
EQL	4	4096
SAC	5	80
TCC	12	20
OBX	18	22
EQU	1	22
EQU	3	250
ERR	1	493
MSA	6	250
ERR	2	18
OBR	42	1
PV2	10	3
STF	28	250
IN2	42	250
GT1	44	250
PID	22	250
NK1	28	250
PCR	17	8
PCR	22	2
MFA	3	26
EQU	2	26
PEO	17	600
PEO	13	600
PEO	15	600
PEO	16	600
PEO	6	26
PEO	4	26
PEO	10	1
EVN	7	241
PEO	14	600
ERQ	2	250
PEO	1	250
PEO	5	26
PEO	7	250
EVN	6	26
PEO	3	26
PEO	11	1
PEO	8	1
SCH	6	250
EVN	4	3
PES	10	26
PES	12	1
PES	11	3
PES	13	1
PEO	9	1
PEO	2	250
EQP	1	250
EVN	1	3
CM2	4	250
RCP	4	26
PV2	8	26
GP2	11	12
PV2	9	26
PV2	27	2
GOL	8	26
PV2	47	26
PV2	20	1
PV2	48	26
STF	35	8
MSA	4	15
PDC	13	12
PV2	33	26
CER	27	26
RF1	8	26
INV	12	26
TQ1	4	20
CDM	6	250
SAC	1	80
RF1	11	30
FAC	3	250
PRC	2	250
FAC	1	20
FAC	4	250
FAC	2	1
OM1	39	200
PRB	24	200
FT1	17	1
SAC	38	20
SAC	39	250
MSH	1	1
FTS	1	10
FHS	11	20
FHS	7	26
FHS	2	4
FHS	1	1
FHS	10	80
EQP	2	20
FHS	9	20
FHS	5	227
FHS	6	227
FHS	8	40
FHS	3	227
FHS	4	227
FTS	2	80
MFI	3	3
SCH	2	75
ARQ	2	75
SCH	18	250
SCH	19	80
SCH	16	250
SCH	17	250
OBR	20	60
OBR	21	60
OBR	3	22
TXA	15	22
SCH	27	22
ORC	3	22
ARQ	25	22
FT1	23	22
APR	5	80
AIG	14	250
SCH	25	250
AIS	10	250
AIP	12	250
AIL	12	250
OBR	47	250
AIS	12	250
ORC	27	26
PV1	20	50
PV2	29	8
INV	13	26
OM1	36	250
PRC	6	200
RXE	36	1
OM7	22	1
STF	37	1
PDC	5	250
PCR	2	1
ABS	11	250
ABS	12	3
RXG	6	20
RXE	4	20
RXG	5	20
RXE	3	20
RXG	25	60
RXG	4	250
RXE	2	250
RXE	6	250
RXG	8	250
RXG	23	5
RXE	33	5
RXE	34	250
RXG	24	250
RXE	27	250
RXG	14	20
RXE	22	20
RXG	15	6
RXE	23	6
RXE	24	250
RXG	16	250
RXE	25	20
RXG	17	20
RXE	26	250
RXG	18	250
RXG	1	4
RXA	1	4
RXE	5	250
RXG	7	250
GOL	9	250
GOL	7	26
GOL	16	250
GOL	17	300
GOL	3	250
GOL	4	60
GOL	18	250
GOL	19	26
GOL	6	60
GOL	10	250
GOL	15	200
GOL	21	250
GOL	20	250
PRA	11	250
CER	4	250
CER	7	3
CER	9	250
CER	23	26
CER	8	250
IN1	9	250
IN1	8	12
SPM	13	6
DG1	14	4
GT1	5	250
GT1	9	1
GT1	22	1
GT1	56	250
GT1	26	250
GT1	23	250
GT1	13	8
GT1	14	8
GT1	8	26
GT1	24	26
GT1	25	1
GT1	19	250
GT1	17	250
GT1	29	250
GT1	16	250
GT1	18	250
GT1	51	250
GT1	20	2
GT1	54	50
GT1	31	8
GT1	27	10
GT1	28	3
GT1	30	250
GT1	3	250
GT1	2	250
GT1	21	250
GT1	7	250
GT1	6	250
GT1	15	2
GT1	55	250
GT1	11	250
GT1	4	250
GT1	12	11
GT1	10	2
IN2	62	250
IN1	48	2
GT1	52	2
PD1	6	2
NK1	36	2
ORG	8	250
ORG	7	250
ORG	6	250
ERR	12	652
SAC	32	20
SAC	33	250
QAK	4	10
QAK	6	10
ERR	3	705
RQD	4	250
PV1	10	3
STF	9	250
SAC	36	20
SAC	37	250
AL1	6	8
OM1	13	250
PID	32	20
PID	31	1
PD1	16	1
PD1	17	8
PCR	1	250
LDP	9	80
CER	26	26
LDP	8	26
STF	38	250
RMI	3	250
RXO	20	250
RXG	22	250
RXA	19	250
RXD	21	250
PCR	10	250
PCR	23	1
PRB	21	250
PRB	23	250
ERR	9	20
CON	19	1
RXE	39	250
INV	7	20
SAC	23	20
RXD	26	250
SPR	4	256
ERQ	3	256
PRA	9	250
STF	12	276
STF	13	276
CSR	3	250
STF	34	52
STF	33	250
FT1	15	12
IN1	6	250
IN2	58	250
IN1	7	250
IN2	57	2
IN1	5	250
IN1	3	250
IN1	4	250
IN1	2	250
FT1	14	250
IN2	70	250
IN2	69	250
IN1	19	250
IN1	43	1
IN1	52	250
IN2	53	250
IN2	54	2
IN2	52	250
IN1	18	26
IN2	1	250
IN2	64	250
IN1	44	250
IN2	3	250
IN2	44	8
IN1	42	250
IN1	10	250
IN1	11	250
IN1	49	250
IN2	63	250
IN1	17	250
IN2	2	11
ISD	3	250
ISD	2	250
PV1	28	2
OM1	32	65536
INV	4	250
IIM	4	26
TCC	8	10
IIM	6	250
IIM	3	250
IIM	5	250
CDM	9	250
IIM	11	26
IIM	12	12
IIM	13	250
IIM	7	26
IIM	10	12
IIM	8	12
IIM	9	250
CER	5	250
CER	24	26
RQD	3	250
RQD	2	250
RQD	8	30
IN2	47	20
STF	19	20
GT1	50	20
GT1	53	2
IN2	48	2
NK1	34	2
GT1	49	20
STF	18	20
IN2	46	20
CER	22	250
CER	19	3
CER	21	250
CER	20	250
OM1	42	250
PDC	12	12
LAN	3	250
LAN	2	250
LAN	4	250
CON	18	1
CM0	8	8
CM0	6	8
PID	33	26
PID	34	241
NST	11	10
LOC	7	250
IN1	33	4
SAC	34	20
SAC	35	250
PD1	2	2
NK1	21	2
GT1	37	2
IN2	35	2
PD1	1	2
NK1	17	2
IN2	31	2
GT1	33	2
PV2	43	2
PD1	7	2
EQU	4	250
SAC	15	250
LOC	5	250
LCH	4	250
LCH	5	250
LDP	12	250
LDP	2	250
LCC	2	250
LOC	2	48
LOC	8	3
AIL	5	250
LOC	6	250
LRL	4	250
AIL	3	80
APR	3	80
LDP	3	3
LOC	9	1
LOC	3	2
AIL	4	250
DSP	4	2
IN2	5	1
DG1	7	250
EDU	9	250
INV	17	250
RQ1	2	250
INV	16	200
